Name	Staphylococcaceae	Enterobacteriaceae	Enterococcaceae	Bacillaceae	Moraxellaceae	Pseudomonadaceae	Actinomycetaceae	Morganellaceae	Streptococcaceae	Campylobacteraceae	Corynebacteriaceae	Burkholderiaceae	Aerococcaceae	Yersiniaceae	Flavobacteriaceae	Bacteroidaceae	Paenibacillaceae	Bacillales_unclassified	Pasteurellaceae	Eggerthellaceae	family	sra_abundance
ERR1911664	79.85976	1.62157	0	0	0	0	0	18.46386	0.0548	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	79.86
ERR1911665	22.82437	34.88209	0	0	0	0	0	42.29354	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	22.82
ERR1911666	32.1015	32.36697	0	0	0	0	0	35.53153	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	32.1
ERR1911667	24.45526	43.00959	0	0	0	0	0	32.53515	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	24.46
ERR1911668	80.62454	3.82532	0	0	0	0	0	15.55014	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	80.62
ERR1911672	81.81425	0	0	0	0	0	0	18.18575	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	81.81
ERR1911673	86.91722	1.55055	0	0	0	0	0	11.53222	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	86.92
ERR1911676	84.26729	1.59054	0	0	0	0	0	14.14218	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	84.27
ERR1911678	91.44254	0.85816	0	0	0	0	0	7.6993	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	91.44
ERR1911679	77.85138	0	0	0	0	0	0	22.14862	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	77.85
ERR1911680	87.78942	1.25689	0	0	0	0	0	10.95369	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	87.79
ERR1911681	85.73139	2.25718	0	0	0	0	0	12.01143	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	85.73
ERR1911682	82.16326	0.14924	0	0	0	0	0	17.6875	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	82.16
ERR1911683	91.02793	1.51934	0	0	0	0	0	7.45273	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	91.03
ERR1911684	79.09622	1.2995	0	0	0	0	0	19.60428	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	79.1
ERR1911685	74.02394	0	0	0	0	0	0	25.97606	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	74.02
ERR1911687	74.36504	0	0	0	0	0	0	25.63496	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	74.37
